,mal_id,url,title,title_japanese,title_romanji,aired,score,filler,recap,forum_url,poll_votes
22,23,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/23,Saibamen Attack!,ヤムチャ死す！おそるべしサイバイマン,Yamucha Shisu! Osorubeshi Saibaiman ,1989-10-18T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=354221,54
23,24,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/24,The Power of Nappa,さよなら天さん！餃子の捨て身の戦法,Sayonara Tensan! Chaozu no Sutemi no Senpou ,1989-10-25T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=354229,52
24,25,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/25,Sacrifice,天津飯絶叫！！これが最後の気功砲だ,Tenshinhan Zekkyou!! Kore ga Saigo no Kikouhou Da ,1989-11-01T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=354233,53
25,26,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/26,Nappa's Rampage,ひたすら待って３時間！弾丸飛行の筋斗雲,Hitasura Matte Sanjikan! Dangan Hikou no Kintoun ,1989-11-08T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=354245,52
26,27,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/27,Nimbus Speed,ぼくにまかせて！悟飯・怒りの大爆発,Boku ni Makasete! Gohan: Ikari no Daibakuhatsu ,1989-11-22T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=354307,51
27,28,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/28,Goku's Arrival,サイヤ人の猛威！神様もピッコロも死んだ,Saiyajin no Moui! Kamisama mo Pikkolo mo Shinda ,1989-11-29T00:00:00+00:00,4.8,False,False,https://myanimelist.net/forum/?topicid=354495,67
28,29,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/29,Lesson Number One,父さんすげぇや！究極の必殺技・界王拳,Tousan Sugee ya! Kyuukyoku no Hissatsuwaza: Kaiouken ,1989-12-06T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=354499,60
29,30,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/30,Goku vs. Vegeta,限界を超えた熱い戦い！悟空対ベジータ,Genkai wo Koeta Atsui Tatakai! Gokuu tai Vegeta ,1989-12-13T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=354587,64
30,31,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/31,Saiyan Sized Secret,いまだ悟空！すべてを賭けた最後の大技,Ima da Gokuu! Subete wo Kaketa Saigo no Oowaza ,1989-12-20T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=354599,57
31,32,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/32,Spirit Bomb Away!,戦闘力１０倍！！ベジータ大変身,Sentouryoku Juubai!! Vegeta Daihenshin ,1990-01-17T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=354617,50
32,33,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/33,Hero in the Shadows,死なないで父さん！！これが悟飯の底力,Shinanaide Tousan!! Kore ga Gohan no Sokojikara ,1990-01-24T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=691323,49
33,34,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/34,Krillin's Offensive,撃てクリリン！願いをこめた元気玉,Ute Kuririn! Negai wo Kometa Genkidama ,1990-01-31T00:00:00+00:00,4.8,False,False,https://myanimelist.net/forum/?topicid=354835,53
34,35,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/35,Mercy,奇跡を起こせ！スーパーサイヤ人孫悟飯,Kiseki wo Okose! Super Saiyajin Son Gohan ,1990-02-07T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=354837,56
35,36,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/36,Picking Up the Pieces,飛び出せ宇宙へ！希望の星はピッコロの故郷,Tobidase Uchuu e! Kibou no Hoshi wa Pikklo no Furusato ,1990-02-14T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=203805,52
36,37,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/37,Plans for Departure,謎のユンザビット！神様の宇宙船を探せ,Nazo no Yunzabitto! Kamisama no Uchuusen wo Sagase ,1990-02-21T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=354851,51
37,38,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/38,Nursing Wounds,ナメック星行き発進！悟飯たちを待つ恐怖,Namekkusei Iki Hasshin! Gohantachi wo Matsu Kyoufu ,1990-02-28T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=354867,45
38,39,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/39,Friends or Foes?,敵か味方か？謎の巨大宇宙船の子供たち,Teki ka Mikata ka? Nazo no Kyodai Uchuusen no Kodomotachi ,1990-03-07T00:00:00+00:00,3.9,True,False,https://myanimelist.net/forum/?topicid=354875,42
39,40,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/40,Held Captive,ホントにホント？あれが希望のナメック星,Honto ni Honto? Are ga Kibou no Namekkusei ,1990-03-14T00:00:00+00:00,4.0,True,False,https://myanimelist.net/forum/?topicid=354939,44
40,41,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/41,Look Out Below,親切な宇宙人いきなりあったよ五星球,Shinsetsu na Uchuujin: Ikinari Atta yo Uushinchuu ,1990-03-21T00:00:00+00:00,4.2,True,False,https://myanimelist.net/forum/?topicid=354955,43
41,42,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/42,The Search Continues,惑星フリーザＮＯ．７９復活のベジータ！！,Wakusei Freeza NO.79: Fukkatsu no Vegeta!! ,1990-04-04T00:00:00+00:00,4.0,True,False,https://myanimelist.net/forum/?topicid=354959,43
42,43,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/43,A Friendly Surprise,そろったぞ神龍球！ピッコロさんも生き返る,Sorotta zo Dragon Ball! Pikkolo-san mo Ikikaeru ,1990-04-11T00:00:00+00:00,3.9,True,False,https://myanimelist.net/forum/?topicid=354971,47
43,44,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/44,Brood of Evil,あらたな強敵！宇宙の帝王フリーザ,Arata na Kyouteki! Uchuu no Teiou Freeza ,1990-04-18T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=354977,46
